Дата,Час,Код цифровий,Код літерний,Кількість одиниць,Назва валюти,"Офіційний курс гривні, грн"
25.05.2022,00.00,978,EUR,1,Євро,31.3437
26.05.2022,00.00,978,EUR,1,Євро,31.1813
27.05.2022,00.00,978,EUR,1,Євро,31.3159
28.05.2022,00.00,978,EUR,1,Євро,31.3159
29.05.2022,00.00,978,EUR,1,Євро,31.3159
30.05.2022,00.00,978,EUR,1,Євро,31.3203
31.05.2022,00.00,978,EUR,1,Євро,31.5031
01.06.2022,00.00,978,EUR,1,Євро,31.3364
02.06.2022,00.00,978,EUR,1,Євро,31.3247
03.06.2022,00.00,978,EUR,1,Євро,31.2808
04.06.2022,00.00,978,EUR,1,Євро,31.2808
05.06.2022,00.00,978,EUR,1,Євро,31.2808
06.06.2022,00.00,978,EUR,1,Євро,31.3876
07.06.2022,00.00,978,EUR,1,Євро,31.389
08.06.2022,00.00,978,EUR,1,Євро,31.1901
09.06.2022,00.00,978,EUR,1,Євро,31.411
10.06.2022,00.00,978,EUR,1,Євро,31.3934
11.06.2022,00.00,978,EUR,1,Євро,31.3934
12.06.2022,00.00,978,EUR,1,Євро,31.3934
13.06.2022,00.00,978,EUR,1,Євро,30.9327
14.06.2022,00.00,978,EUR,1,Євро,30.5626
15.06.2022,00.00,978,EUR,1,Євро,30.567
16.06.2022,00.00,978,EUR,1,Євро,30.5962
17.06.2022,00.00,978,EUR,1,Євро,30.3885
18.06.2022,00.00,978,EUR,1,Євро,30.3885
19.06.2022,00.00,978,EUR,1,Євро,30.3885
20.06.2022,00.00,978,EUR,1,Євро,30.6899
21.06.2022,00.00,978,EUR,1,Євро,30.7952
22.06.2022,00.00,978,EUR,1,Євро,30.861
23.06.2022,00.00,978,EUR,1,Євро,30.7542
24.06.2022,00.00,978,EUR,1,Євро,30.7337
25.06.2022,00.00,978,EUR,1,Євро,30.7337
26.06.2022,00.00,978,EUR,1,Євро,30.7337
27.06.2022,00.00,978,EUR,1,Євро,30.7674
28.06.2022,00.00,978,EUR,1,Євро,30.9122
29.06.2022,00.00,978,EUR,1,Євро,30.9151
30.06.2022,00.00,978,EUR,1,Євро,30.7776
01.07.2022,00.00,978,EUR,1,Євро,30.4017
02.07.2022,00.00,978,EUR,1,Євро,30.4017
03.07.2022,00.00,978,EUR,1,Євро,30.4017
04.07.2022,00.00,978,EUR,1,Євро,30.526
05.07.2022,00.00,978,EUR,1,Євро,30.5816
06.07.2022,00.00,978,EUR,1,Євро,30.1135
07.07.2022,00.00,978,EUR,1,Євро,29.8122
08.07.2022,00.00,978,EUR,1,Євро,29.8107
09.07.2022,00.00,978,EUR,1,Євро,29.8107
10.07.2022,00.00,978,EUR,1,Євро,29.8107
11.07.2022,00.00,978,EUR,1,Євро,29.701
12.07.2022,00.00,978,EUR,1,Євро,29.5109
13.07.2022,00.00,978,EUR,1,Євро,29.3675
14.07.2022,00.00,978,EUR,1,Євро,29.4494
15.07.2022,00.00,978,EUR,1,Євро,29.2754
16.07.2022,00.00,978,EUR,1,Євро,29.2754
17.07.2022,00.00,978,EUR,1,Євро,29.2754
18.07.2022,00.00,978,EUR,1,Євро,29.4173
19.07.2022,00.00,978,EUR,1,Євро,29.6645
20.07.2022,00.00,978,EUR,1,Євро,29.998
21.07.2022,00.00,978,EUR,1,Євро,29.8064
22.07.2022,00.00,978,EUR,1,Євро,37.2689
23.07.2022,00.00,978,EUR,1,Євро,37.2689
24.07.2022,00.00,978,EUR,1,Євро,37.2689
25.07.2022,00.00,978,EUR,1,Євро,37.2177
26.07.2022,00.00,978,EUR,1,Євро,37.4115
27.07.2022,00.00,978,EUR,1,Євро,37.0568
28.07.2022,00.00,978,EUR,1,Євро,37.1244
29.07.2022,00.00,978,EUR,1,Євро,36.9965
30.07.2022,00.00,978,EUR,1,Євро,36.9965
31.07.2022,00.00,978,EUR,1,Євро,36.9965
01.08.2022,00.00,978,EUR,1,Євро,37.3365
02.08.2022,00.00,978,EUR,1,Євро,37.4133
03.08.2022,00.00,978,EUR,1,Євро,37.3804
04.08.2022,00.00,978,EUR,1,Євро,37.2488
05.08.2022,00.00,978,EUR,1,Євро,37.2104
06.08.2022,00.00,978,EUR,1,Євро,37.2104
07.08.2022,00.00,978,EUR,1,Євро,37.2104
08.08.2022,00.00,978,EUR,1,Євро,37.417
09.08.2022,00.00,978,EUR,1,Євро,37.2963
10.08.2022,00.00,978,EUR,1,Євро,37.3804
11.08.2022,00.00,978,EUR,1,Євро,37.5102
12.08.2022,00.00,978,EUR,1,Євро,37.7516
13.08.2022,00.00,978,EUR,1,Євро,37.7516
14.08.2022,00.00,978,EUR,1,Євро,37.7516
15.08.2022,00.00,978,EUR,1,Євро,37.5943
16.08.2022,00.00,978,EUR,1,Євро,37.2817
17.08.2022,00.00,978,EUR,1,Євро,37.033
18.08.2022,00.00,978,EUR,1,Євро,37.1738
19.08.2022,00.00,978,EUR,1,Євро,37.2177
20.08.2022,00.00,978,EUR,1,Євро,37.2177
21.08.2022,00.00,978,EUR,1,Євро,37.2177
22.08.2022,00.00,978,EUR,1,Євро,36.7441
23.08.2022,00.00,978,EUR,1,Євро,36.5686
24.08.2022,00.00,978,EUR,1,Євро,36.298
25.08.2022,00.00,978,EUR,1,Євро,36.3053
26.08.2022,00.00,978,EUR,1,Євро,36.4808
27.08.2022,00.00,978,EUR,1,Євро,36.4808
28.08.2022,00.00,978,EUR,1,Євро,36.4808
29.08.2022,00.00,978,EUR,1,Євро,36.5467
30.08.2022,00.00,978,EUR,1,Євро,36.554
31.08.2022,00.00,978,EUR,1,Євро,36.6564
01.09.2022,00.00,978,EUR,1,Євро,36.5704
02.09.2022,00.00,978,EUR,1,Євро,36.5832
03.09.2022,00.00,978,EUR,1,Євро,36.5832
04.09.2022,00.00,978,EUR,1,Євро,36.5832
05.09.2022,00.00,978,EUR,1,Євро,36.5339
06.09.2022,00.00,978,EUR,1,Євро,36.2614
07.09.2022,00.00,978,EUR,1,Євро,36.287
08.09.2022,00.00,978,EUR,1,Євро,36.1371
09.09.2022,00.00,978,EUR,1,Євро,36.6491
10.09.2022,00.00,978,EUR,1,Євро,36.6491
11.09.2022,00.00,978,EUR,1,Євро,36.6491
12.09.2022,00.00,978,EUR,1,Євро,36.7112
13.09.2022,00.00,978,EUR,1,Євро,37.097
14.09.2022,00.00,978,EUR,1,Євро,37.2159
15.09.2022,00.00,978,EUR,1,Євро,36.543
16.09.2022,00.00,978,EUR,1,Євро,36.5137
17.09.2022,00.00,978,EUR,1,Євро,36.5137
18.09.2022,00.00,978,EUR,1,Євро,36.5137
19.09.2022,00.00,978,EUR,1,Євро,36.4607
20.09.2022,00.00,978,EUR,1,Євро,36.5064
21.09.2022,00.00,978,EUR,1,Євро,36.5247
22.09.2022,00.00,978,EUR,1,Євро,36.2084
23.09.2022,00.00,978,EUR,1,Євро,36.0768
24.09.2022,00.00,978,EUR,1,Євро,36.0768
25.09.2022,00.00,978,EUR,1,Євро,36.0768
26.09.2022,00.00,978,EUR,1,Євро,35.6654
